timestamp,hour,day_of_week,is_weekend,hourly_seasonality,weekly_seasonality,trend,noise,demand
2025-01-01 00:00:00,0,2,0,-8,3,0.0,0.914151239263294,16
2025-01-01 01:00:00,1,2,0,-8,3,0.002779064381658175,-3.1199523187214866,12
2025-01-01 02:00:00,2,2,0,-8,3,0.00555812876331635,2.2513535874193717,17
2025-01-01 03:00:00,3,2,0,-8,3,0.008337193144974525,2.8216941491736414,18
2025-01-01 04:00:00,4,2,0,-8,3,0.0111162575266327,-5.853105565961509,9
2025-01-01 05:00:00,5,2,0,-8,3,0.013895321908290875,-3.9065385205869543,11
2025-01-01 06:00:00,6,2,0,2,3,0.01667438628994905,0.3835212095018561,25
2025-01-01 07:00:00,7,2,0,2,3,0.019453450671607225,-0.9487277770307466,24
2025-01-01 08:00:00,8,2,0,2,3,0.0222325150532654,-0.050403472512866386,25
2025-01-01 09:00:00,9,2,0,2,3,0.025011579434923575,-2.55913178272074,22
2025-01-01 10:00:00,10,2,0,12,3,0.02779064381658175,2.6381939245884856,38
2025-01-01 11:00:00,11,2,0,12,3,0.030569708198239925,2.333375806286845,37
2025-01-01 12:00:00,12,2,0,12,3,0.0333487725798981,0.19809209268364814,35
2025-01-01 13:00:00,13,2,0,12,3,0.036127836961556276,3.381723620904099,38
2025-01-01 14:00:00,14,2,0,8,3,0.03890690134321445,1.4025280267561369,32
2025-01-01 15:00:00,15,2,0,8,3,0.041685965724872626,-2.5778773886497146,28
2025-01-01 16:00:00,16,2,0,8,3,0.0444650301065308,1.1062523522474965,32
2025-01-01 17:00:00,17,2,0,8,3,0.047244094488188976,-2.8766478024869966,28
2025-01-01 18:00:00,18,2,0,3,3,0.05002315886984715,2.6353509039218177,29
2025-01-01 19:00:00,19,2,0,3,3,0.052802223251505326,-0.14977773295875868,26
2025-01-01 20:00:00,20,2,0,3,3,0.0555812876331635,-0.5545870906357817,26
2025-01-01 21:00:00,21,2,0,3,3,0.058360352014821676,-2.042788633211824,24
2025-01-01 22:00:00,22,2,0,-2,3,0.06113941639647985,3.6676240160220908,25
2025-01-01 23:00:00,23,2,0,-2,3,0.06391848077813803,-0.4635884462064065,21
2025-01-02 00:00:00,0,3,0,-8,3,0.0666975451597962,-1.2849834664893216,14
2025-01-02 01:00:00,1,3,0,-8,3,0.06947660954145438,-1.0564006514646889,14
2025-01-02 02:00:00,2,3,0,-8,3,0.07225567392311255,1.596927556660046,17
2025-01-02 03:00:00,3,3,0,-8,3,0.07503473830477073,1.096332193092235,16
2025-01-02 04:00:00,4,3,0,-8,3,0.0778138026864289,1.2381978347879652,16
2025-01-02 05:00:00,5,3,0,-8,3,0.08059286706808708,1.2924630090236482,16
2025-01-02 06:00:00,6,3,0,2,3,0.08337193144974525,6.424942802611383,32
2025-01-02 07:00:00,7,3,0,2,3,0.08615099583140343,-1.2192450491538467,24
2025-01-02 08:00:00,8,3,0,2,3,0.0889300602130616,-1.536728187214612,24
2025-01-02 09:00:00,9,3,0,2,3,0.09170912459471978,-2.441318184743633,23
2025-01-02 10:00:00,10,3,0,12,3,0.09448818897637795,1.8479382677264868,37
2025-01-02 11:00:00,11,3,0,12,3,0.09726725335803613,3.386916878162675,38
2025-01-02 12:00:00,12,3,0,12,3,0.1000463177396943,-0.3418423729646252,35
2025-01-02 13:00:00,13,3,0,12,3,0.10282538212135248,-2.520469430887584,33
